id_rna;nom_association;objet;code_objet_1;code_objet_2;date_creation;date_publication;code_postal;commune;statut
353P0353012648;ASSOCIATION ROAZON CLUB DE SKI;Developpement de la pratique du ski;011000;011155;;;35000;RENNES;A
353P0353012649;ASSOCIATION COPRO DES GENETS;Gestion de la copropriete des genets;014000;032520;;;;PONT-PEAN;A
353P0353012650;ASSOCIATION VIDEO - COM;Promotion de la creation audio-visuelle;005000;005015;;;35000;RENNES;A
353P0353012651;ASSOCIATION POUR LA DEFENSE DE LA PLAGE DU MINHIC ET DE  SON ENVIRONNEMENT;Defendre les espaces naturels et proteges qui constituent la plage du minhic et son environnement contre toutes les causes de degradations et risques de pollution , entreprendre toute action d'information aupres du public des concepteurs et deci-;024000;010020;;;35000;RENNES;A
353P0353012652;ASSOCIATION ESPACE FUN HOUSE;Promouvoir la creation contemporaine par la mise en place d'un lieu d'exposition et de creation multi-media;006000;000000;;;35000;RENNES;A
353P0353012653;ASSOCIATION LES ARCHERS PACEENS;Pratique du tir a l'arc pour enfants et adultes;011000;011175;;;35740;PACE;A
353P0353012655;ASSOCIATION TI MANO;Reunir les haitiens de rennes dans une association afin de promouvoir la culture et la musique haitienne;006000;006030;;;35000;RENNES;A
353P0353012656;FRANCE STREET ROD ASSOCIATION (F.S.R.A.);Regrouper recenser tous les projets rods en france et organi- ser une reunion nationale annuelle;007000;007025;;;35000;RENNES;R
353P0353012658;ASSOCIATION VIVIANE;Developper et favoriser par tous les moyens appropries la decouverte de soi, l'accomplissement du monde interieur et l'adaptation souple et vivante au monde exterieur;015000;000000;;;35000;RENNES;A
353P0353012659;ASSOCIATION NATIONALE DES DIRECTEURS REGIONAUX DU MINIS  (A.N.D.I.R.);En s'appuyant sur l'analyse des realites regionales de consti- tuer des groupes de reflexion sur des themes professionnels et de faire des propositions;014000;014030;;;35000;RENNES;A
353P0353012661;ASSOCIATION NOT? (TRIMESTRIEL DE ROCK);Decouverte de jeunes talents en matiere de musiques rock et de bandes dessinees, interviews de groupes reconnus, donner la meme importance a tout le monde;005005;006030;;;35132;VEZIN-LE-COQUET;A
353P0353012664;ASSOCIATION P.O. BOX PRODUCTIONS;Developpement et soutien aux musiciens de la region bretagne pays de loire par voie de concerts et production d'oeuvres discographiques;006000;006030;;;35000;RENNES;A
353P0353012665;ASSOCIATION PAINT BALL RENNAIS;Le jeu de paint ball, sa pratique son controle et sa promotion au titre de sport en plein air ainsi que tout grandeur nature et jeux de plateau et sur micro de jeux ludiques ou strategi- ques sur rennes et sa region (15 kms);007000;000000;;;35000;RENNES;A
353P0353012666;ASSOCIATION ATHLETISME LA POSTE D'ILLE-ET-VILAINE;Organiser, developper, controler la pratique de la course a pied;011000;011020;;;35132;VEZIN-LE-COQUET;A
353P0353012667;ASSOCIATION POUR LA CREATION D'UN OFFICE DE RADIO-TELEV  KEVREDIGEZH EVIT SEVEL UR CHADENN SKINGOMZ HA SKINWEL BREIZHAT;Creer un office de radio-television de bretagne;005000;005010;;;35132;VEZIN-LE-COQUET;A
353P0353012669;U.S.E.P. JOSEPH LOTTE;Former a la responsabilite, au civisme, a l'autonomie par la pratique d'activites physiques;011010;000000;;;35000;RENNES;A
353P0353012671;ASSOCIATION DES SPORTIFS RENNAIS DE HAUT NIVEAU  ET PROFESSIONNELS DU SPORT.;Promotion du sport de haut niveau dans la cite rennaise.;011000;000000;;;35000;RENNES;A
353P0353012672;ASSOCIATION POUR LA RECONNAISSANCE DU VOTE BLANC.;La non assimilation du vote blanc et du vote nul lors de la compt-abilisation finale des resultats electoraux et la presence de bul-letins blancs dans les buraux de vote.;001000;000000;;;35000;RENNES;A
353P0353012674;L'ASSOCIATION DE LA BRETAGNE AU QUEBEC;Promouvoir la bretagne au quebec, promouvoir le tourisme quebecoisen bretagne, promouvoir les produits bretons et faciliter l'ac- cueil des touristes quebecois en bretagne;009050;000000;;;35000;RENNES;A
353P0353012675;CENTRE D'INFORMATION ET DE DEVELOPPEMENT CULTUREL ET  ARTISTIQUE (C.I.D.C.ART);Promotion des activites contemporaines dans le domaine de la musi-que, des arts plastiques et visuels;005000;006000;;;35000;RENNES;A
353P0353012676;MOTO CLUB LA BANANE ENERVEE;Promouvoir, valoriser une vie associative traditionnelle, populai-re et contemporaine au sein de la commune de la meziere;007025;000000;;;35520;MEZIERE;A
353P0353012677;LCM 92;Financer des actions commerciales;015075;000000;;;35310;MORDELLES;A
353P0353012681;PL. GAG;Gestion des loisirs au sein de l'i.u.t. gea de rennes;015075;000000;;;35000;RENNES;A
353P0353012682;ENFANCE - PHILIPPINE - ESPOIR (E.P.E.);Developper toute action humanitaire et notamment le parrainage d'enfants philippins et l'aide a leurs familles;020020;000000;;;35000;RENNES;A
353P0353012683;ASSOCIATION PALAIS SAINT GERMAIN;Animation et promotion des rues ou les adherents exercent leur activite professionnelle;022535;000000;;;35000;RENNES;R
353P0353012684;QUATUOR THOMAS TALLIS;Production de concerts en bretagne et hors bretagne dans sa forma-tion de base ou avec chanteurs et instrumentistes invites;006030;000000;;;35000;RENNES;A
353P0353012685;EVANGELISATION PAR LA PAGE IMPRIMEE;Elaboration et diffusion d'un journal evangelique (la onzieme heure) et autres activites similaires;040510;000000;;;35000;RENNES;R
353P0353012687;LEGATO;Promouvoir le travail de la voix et le chant;006030;000000;;;35000;RENNES;A
353P0353012689;L'AIR DU TEMPS;Collectionner, sauvegarder et promouvoir le repertoire de la chanson francaise;006030;000000;;;35131;CHARTRES-DE-BRETAGNE;A
353P0353012690;LES PRODUCTIONS NYCTALOPES;Produire des documents audiovisuels a caracteres culturel et/ou pedagogique et sensibiliser le public aux metiers de l'image et du son;005015;000000;;;35000;RENNES;A
353P0353012691;BELLE ILE EVASION;Animation de quartier et amelioration des liens entre individus enetablissant une notion d'entraide;030005;020000;;;35135;CHANTEPIE;A
353P0353012692;FORCE - FORMATION POUR LA COMPETENCE ET L'EFFICACITE;Formation continue en entreprise et dans les hopitaux pour favori-ser des comportements repondant aux besoins des entreprises performantes, developper des attitudes qui deviendront determinen-tes pour le succes;015000;000000;;;35000;RENNES;A
353P0353012693;TABADAKA;Organisation de stages d'art dramatique;006000;000000;;;35135;CHANTEPIE;A
353P0353012698;ASSOCIATION INTERNATIONALE CULTURELLE;Developpement de la culture internationale;006000;000000;;;35230;SAINT-ERBLON;A
